x,y,sd
6009.5,582.1,34.2
15211.9,12020.5,30.9
3214.4,3198.0,26.1
13869.6,16008.7,22.6
4009.2,22135.7,18.4
3760.4,1323.5,27.5
2030.1,3931.8,22.8
10981.7,17646.3,23.2
562.1,8488.0,29.2
4490.5,873.6,22.1
4020.5,22132.2,34.2
16652.5,19669.1,25.5
3780.1,1306.0,27.6
11791.5,9534.3,29.5
1666.2,4285.6,36.3
2682.8,5531.4,21.5
4468.0,852.9,47.9
2062.9,16956.8,19.1
7717.0,16779.3,30.0
623.0,9211.9,24.7
6673.7,16562.5,28.4
11762.1,9568.5,14.8
3439.3,2566.3,36.1
13106.2,14884.0,17.2
4743.3,1447.0,23.5
6224.4,14731.5,28.6
3264.1,5959.2,41.0
1476.7,17862.2,20.7
3739.2,1308.0,32.5
7585.5,25135.2,22.5
3654.0,11628.9,48.6
22930.9,2692.6,14.3
14985.0,8206.6,18.8
9144.6,14276.5,30.9
7585.8,25155.8,14.0
1239.2,3315.8,22.8
11813.8,11342.7,29.6
5225.9,19505.6,24.4
3090.2,2278.4,36.6
2787.6,1095.4,30.8
6910.5,18299.3,17.2
22953.9,2701.8,21.5
1256.1,4971.0,24.5
5033.0,21629.2,21.4
510.7,1167.6,16.0
18412.9,15591.0,21.8
10163.0,17019.1,33.0
11041.1,16836.0,25.7
2280.6,2770.5,24.4
3287.1,5983.7,33.0
3864.1,1338.9,20.2
1233.6,2279.2,20.4
8325.0,11570.2,24.9
5190.3,19483.9,32.3
6700.6,16588.5,27.8
18083.4,8289.7,28.9
22951.6,2699.8,20.9
2069.8,4510.5,25.6
4034.4,22152.5,23.6
10029.5,13987.4,40.2
9852.4,17323.1,22.7
19426.1,6573.9,35.2
4041.7,16462.7,21.5
13658.8,14907.2,11.6
1943.1,5893.4,36.4
10937.8,20190.7,27.0
17149.0,5176.6,22.1
2151.8,4474.9,26.3
10160.7,13883.5,34.9
6667.6,16540.7,22.0
4024.8,22149.1,22.4
3962.7,16494.7,19.3
4839.8,2022.4,28.0
3111.4,3159.5,29.9
1695.3,2509.9,28.6
2142.5,4487.2,25.6
14222.6,7921.4,22.1
1387.0,2378.2,40.8
9841.7,17320.6,18.7
14469.1,8684.9,27.5
2341.2,4876.2,24.5
22935.1,2675.8,25.1
4836.8,1973.8,25.1
2193.6,1897.2,26.5
4026.4,16533.6,18.2
3153.0,6417.3,39.6
15645.1,9713.8,16.7
606.2,4486.5,25.1
2059.0,1087.2,26.0
14186.5,7840.7,25.6
3144.8,3118.0,34.7
3538.2,15819.4,29.8
2329.8,2750.7,42.2
1547.9,2371.4,25.0
6942.5,19578.0,23.0
3062.2,2297.4,24.9
3670.8,7092.4,21.6
7149.7,8955.5,26.5
19844.5,7479.0,23.6
2294.0,4976.9,35.1
538.5,4489.3,32.6
1281.2,2340.9,44.0
15237.0,11749.8,28.0
21556.2,2132.0,25.4
13024.4,6220.1,17.5
1633.3,4228.3,29.8
6614.8,16515.0,30.0
12455.2,24650.1,23.7
2188.2,1838.5,28.6
18144.4,22695.4,20.0
7348.3,1876.2,27.7
2230.0,1239.4,26.9
2311.3,4895.0,21.5
2271.4,2430.7,23.2
6236.4,14700.5,19.4
